longitude,latitude,time,chlorophyll,electrical conductivity,Low Frequency Water Depth(m),Dissolved Oxygen(% Sat),Dissolved oxygen(mg/L),Ammonia nitrogen,salinity,Phycotin,Total dissolved solids,turbidity,temperature,PH value,PH value(mv)
120.6803892,31.3167107,2021-12-03 10:19:07,4.29,362.55,2.73,100.95,10.98,0,0.24,1004.84,317.34,10.3,11.523,7.84,-76.16
120.6803941,31.3167122,2021-12-03 10:19:09,4.61,362.51,2.68,94.57,10.29,0,0.24,1018.24,317.32,10.31,11.521,7.84,-76.15
120.6803982,31.3167145,2021-12-03 10:19:11,5.09,362.52,2.67,93.4,10.16,0,0.24,1028.18,317.3,10.34,11.525,7.84,-76.14
120.6804009,31.3167184,2021-12-03 10:19:13,5.83,362.4,2.67,108.13,11.77,0,0.24,1033.72,317.26,10.36,11.517,7.84,-76.12
120.680402,31.3167227,2021-12-03 10:19:15,6.75,362.34,2.64,103.79,11.3,0,0.24,1051.86,317.31,10.37,11.503,7.84,-76.11
120.680401,31.3167273,2021-12-03 10:19:17,7.51,362.23,2.619,106.3,11.57,0,0.24,1071.25,317.32,10.36,11.491,7.84,-76.1
120.6803986,31.3167319,2021-12-03 10:19:19,7.75,362.17,2.599,85.59,9.32,0,0.24,1079.13,317.32,10.34,11.485,7.84,-76.1
120.6803935,31.3167352,2021-12-03 10:19:21,7.74,362.02,2.47,90.44,9.85,0,0.24,1088.7,317.27,10.34,11.476,7.84,-76.09
120.6803877,31.3167384,2021-12-03 10:19:23,7.18,362,2.44,98.59,10.74,0,0.24,1084.18,317.28,10.35,11.471,7.84,-76.09
120.6803812,31.3167395,2021-12-03 10:19:25,6.21,362.04,2.41,96.7,10.53,0,0.24,1070.7,317.23,10.34,11.484,7.84,-76.08
120.6803755,31.3167384,2021-12-03 10:19:27,5.31,362.16,2.49,86.78,9.45,0,0.24,1063.43,317.13,10.29,11.51,7.84,-76.07
120.6803708,31.3167357,2021-12-03 10:19:29,4.67,362.31,2.599,100.17,10.9,0,0.24,1044.89,317.08,10.28,11.531,7.84,-76.06
120.6803683,31.3167311,2021-12-03 10:19:31,4.25,362.43,2.75,103.25,11.23,0,0.24,1038.38,317.07,10.27,11.545,7.84,-76.06
120.6803674,31.3167261,2021-12-03 10:19:33,4.12,362.52,2.829,96.78,10.52,0,0.24,1019.97,317.09,10.29,11.551,7.84,-76.05
120.6803683,31.3167204,2021-12-03 10:19:35,4.26,362.61,2.88,92.77,10.09,0,0.24,998.32,317.19,10.32,11.549,7.84,-76.04
120.6803709,31.3167154,2021-12-03 10:19:37,4.31,362.62,2.839,98.1,10.67,0,0.24,982.24,317.3,10.35,11.536,7.84,-76.04
120.6803747,31.3167118,2021-12-03 10:19:39,4.32,362.55,2.799,90.31,9.83,0,0.24,972.46,317.41,10.36,11.515,7.84,-76.03
120.6803797,31.3167107,2021-12-03 10:19:41,4.41,362.42,2.73,88.2,9.6,0,0.24,972.96,317.48,10.4,11.491,7.84,-76.01
120.680385,31.3167112,2021-12-03 10:19:43,4.5,362.34,2.67,69.59,7.58,0,0.24,981.63,317.44,10.42,11.489,7.84,-76
120.6803903,31.3167147,2021-12-03 10:19:45,4.65,362.36,2.69,90.69,9.87,0,0.24,992.56,317.41,10.41,11.495,7.84,-75.97
120.6803952,31.3167186,2021-12-03 10:19:47,8.52,362.41,2.67,80.23,8.73,0,0.24,1002.98,317.42,10.39,11.499,7.84,-75.95
120.6803979,31.316723,2021-12-03 10:19:49,11.04,362.38,2.619,77.05,8.39,0,0.24,1027.08,317.37,10.33,11.502,7.84,-75.93
120.6804009,31.3167292,2021-12-03 10:19:51,8.72,362.28,2.599,100.64,10.96,0,0.24,1039.77,317.31,10.26,11.499,7.84,-75.91
120.6804035,31.316736,2021-12-03 10:19:53,8.3,362.31,2.509,88.27,9.61,0,0.24,1057.07,317.31,10.18,11.501,7.84,-75.89
120.6804071,31.3167427,2021-12-03 10:19:55,7.98,362.29,2.349,91.06,9.91,0,0.24,1073.6,317.29,10.12,11.502,7.84,-75.88
120.6804122,31.3167486,2021-12-03 10:19:57,7.11,362.29,2.349,89,9.69,0,0.24,1078.91,317.33,10.04,11.496,7.84,-75.86
120.6804185,31.3167532,2021-12-03 10:19:59,6.4,362.24,2.289,94.74,10.31,0,0.24,1073.11,317.28,9.94,11.499,7.84,-75.85
120.6804254,31.3167561,2021-12-03 10:20:01,5.49,362.24,2.269,92.87,10.11,0,0.24,1067.81,317.13,9.87,11.516,7.84,-75.84
120.6804325,31.3167578,2021-12-03 10:20:03,4.53,362.34,2.299,106.17,11.55,0,0.24,1054.83,316.97,9.8,11.547,7.84,-75.83
120.6804401,31.316758,2021-12-03 10:20:05,3.84,362.51,2.349,90.53,9.84,0,0.24,1051.11,316.91,9.77,11.572,7.84,-75.83
120.6804472,31.3167574,2021-12-03 10:20:07,3.52,362.56,2.39,100.69,10.94,0,0.24,1036.4,316.75,9.77,11.597,7.84,-75.83
120.6804546,31.3167566,2021-12-03 10:20:09,3.47,362.67,2.47,96.5,10.48,0,0.24,1012.92,316.7,9.73,11.614,7.84,-75.84
120.6804627,31.3167564,2021-12-03 10:20:11,3.58,362.7,2.559,95.18,10.33,0,0.24,992.88,316.69,9.72,11.621,7.84,-75.84
120.6804701,31.3167578,2021-12-03 10:20:13,3.84,362.67,2.619,99.6,10.81,0,0.24,978.67,316.67,9.78,11.619,7.84,-75.86
120.6804763,31.3167606,2021-12-03 10:20:15,4.12,362.68,2.63,92.05,9.99,0,0.24,976.16,316.73,9.83,11.612,7.84,-75.88
120.6804818,31.3167631,2021-12-03 10:20:17,4.34,362.53,2.619,118.73,12.89,0,0.24,984.34,316.64,9.85,11.608,7.84,-75.9
120.6804879,31.3167657,2021-12-03 10:20:19,4.45,362.58,2.609,92.87,10.09,0,0.24,982.15,316.71,9.84,11.605,7.84,-75.93
120.6804925,31.3167708,2021-12-03 10:20:21,4.37,362.63,2.579,63.52,6.9,0,0.24,990.33,316.75,9.81,11.604,7.84,-75.95
